Author,Suggestions
33913,
70535,"MeanWordLen is Low. Your average is 4.6 vs. Average of All reviewers : 5.0 your average Review is in the 19.0 Percentile
MeanParagraphLen is Low. Your average is 97.8 vs. Average of All reviewers : 312.2 your average Review is in the 11.0 Percentile"
102816,
306861,"MeanWordLen is High. Your average is 5.5 vs. Average of All reviewers : 5.0 your average Review is in the 81.0 Percentile
Ands is Low. Your average is 12.1 vs. Average of All reviewers : 25.8 your average Review is in the 15.0 Percentile"
317399,"MeanWordLen is High. Your average is 5.4 vs. Average of All reviewers : 5.0 your average Review is in the 81.0 Percentile
MeanSentenceLen is High. Your average is 32.6 vs. Average of All reviewers : 20.8 your average Review is in the 88.0 Percentile
MeanParagraphLen is High. Your average is 685.9 vs. Average of All reviewers : 312.2 your average Review is in the 88.0 Percentile
Commas is High. Your average is 63.3 vs. Average of All reviewers : 42.1 your average Review is in the 83.0 Percentile"
342623,
386241,
391152,
449021,
453068,"MeanSentenceLen is High. Your average is 35.3 vs. Average of All reviewers : 20.8 your average Review is in the 91.0 Percentile
MeanParagraphLen is High. Your average is 608.1 vs. Average of All reviewers : 312.2 your average Review is in the 82.0 Percentile"
453228,MeanWordLen is Low. Your average is 4.4 vs. Average of All reviewers : 5.0 your average Review is in the 11.0 Percentile
463200,"Commas is Low. Your average is 18.3 vs. Average of All reviewers : 42.1 your average Review is in the 17.0 Percentile
Dashes is High. Your average is 21.7 vs. Average of All reviewers : 3.5 your average Review is in the 87.0 Percentile"
562732,"MeanSentenceLen is High. Your average is 29.1 vs. Average of All reviewers : 20.8 your average Review is in the 82.0 Percentile
MeanParagraphLen is High. Your average is 728.6 vs. Average of All reviewers : 312.2 your average Review is in the 86.0 Percentile
Thats is High. Your average is 19.9 vs. Average of All reviewers : 7.5 your average Review is in the 90.0 Percentile"
583640,
663392,
783721,
819382,MeanParagraphLen is High. Your average is 678.6 vs. Average of All reviewers : 312.2 your average Review is in the 87.0 Percentile
865972,
989035,
1048771,
